노출키워드,연관키워드,검색(PC),검색(폰),평균클릭(PC),평균클릭(폰),평클릭률(PC),평균클릭률(폰),노출광고수,경쟁도,총검색,총클릭
창문간판,실내간판,680,1480,23.2,61.0,3.59,4.33,15,높음,2160.0,84.2
창문간판,거치대,4140,9520,5.1,67.3,0.13,0.76,15,높음,13660.0,72.4
창문간판,간판가격,390,1840,6.7,69.3,1.81,4.02,15,높음,2230.0,76.0
창문간판,미용실간판,360,2180,4.7,57.5,1.36,2.79,15,높음,2540.0,62.2
창문간판,부동산간판,790,1420,11.0,30.0,1.45,2.28,15,높음,2210.0,41.0
창문간판,가판대,6100,13800,3.7,41.9,0.07,0.33,15,높음,19900.0,45.6
창문간판,대구간판,430,1190,11.9,59.0,2.85,5.27,15,높음,1620.0,70.9
창문간판,돌출간판,1410,3460,14.3,64.3,1.07,1.97,15,높음,4870.0,78.6
창문간판,간판제작,1520,2350,41.5,103.1,2.89,4.62,15,높음,3870.0,144.6
창문간판,네온간판,580,2260,12.1,87.3,2.22,4.12,15,높음,2840.0,99.4
창문간판,스마트글라스,740,1290,14.1,44.7,2.04,3.7,15,높음,2030.0,58.8
창문간판,액자고리,470,1640,4.5,40.7,0.99,2.67,15,높음,2110.0,45.2
창문간판,안전표지판,1270,1480,23.6,21.7,1.93,1.55,15,높음,2750.0,45.3
창문간판,신주,2970,7940,6.0,53.7,0.22,0.73,15,높음,10910.0,59.7
창문간판,네온사인주문제작,1160,5220,39.5,339.6,3.63,6.92,15,높음,6380.0,379.1
아크릴,아크릴,14000,25800,187.0,413.8,1.41,1.72,15,높음,39800.0,600.8
아크릴,아크릴제작,2680,3980,103.4,199.4,4.08,5.32,15,높음,6660.0,302.8
아크릴,꽃병,2640,14600,14.1,314.1,0.58,2.32,15,높음,17240.0,328.2
아크릴,아크릴간판,2330,5010,51.8,109.3,2.35,2.32,15,높음,7340.0,161.1
아크릴,인테리어꽃병,340,3170,4.1,118.5,1.27,4.11,15,높음,3510.0,122.6
아크릴,현판,4440,5630,67.9,77.3,1.62,1.45,15,높음,10070.0,145.2
아크릴,아크릴가림막,6210,13300,103.2,437.0,1.76,3.48,15,높음,19510.0,540.2
아크릴,미니간판,780,2950,13.8,86.3,1.87,3.12,15,높음,3730.0,100.1
아크릴,아크릴장식장,750,3660,13.5,112.9,1.88,3.3,15,높음,4410.0,126.4
아크릴,아크릴칸막이,3740,6100,70.9,195.5,2.01,3.42,15,높음,9840.0,266.4
아크릴,간판제작,1520,2350,41.5,103.1,2.89,4.62,15,높음,3870.0,144.6
