노출상태,노출상품명,광고그룹 이름,평균노출순위,노출수,클릭수,전환수,전환율,광고비용,전환액,소재 상태,소재 입찰가,소재 ID,광고그룹 ID,상품 ID
신규 소재,스티커표찰 24평아파트인테리어 성별 아크릴스탠드,g,,,,,,,,on,190.0,,grp-a001-02-000000021807496,5742885085.0
신규 소재,스티커표찰 욕실인테리어 성별 미니간판,h,,,,,,,,on,190.0,,grp-a001-02-000000021807523,5742885085.0
신규 소재,스티커표찰 욕실 성별 아크릴꽂이,i,,,,,,,,on,190.0,,grp-a001-02-000000021807511,5742885085.0
빈 그룹,,j,,,,,,,,,,,grp-a001-02-000000021807484,5742885085.0
빈 그룹,,k,,,,,,,,,,,grp-a001-02-000000021807485,5742885085.0
빈 그룹,,l,,,,,,,,,,,grp-a001-02-000000021807486,5742885085.0
빈 그룹,,m,,,,,,,,,,,grp-a001-02-000000021807481,5742885085.0
빈 그룹,,n,,,,,,,,,,,grp-a001-02-000000021807552,5742885085.0
빈 그룹,,o,,,,,,,,,,,grp-a001-02-000000021807546,5742885085.0
빈 그룹,,p,,,,,,,,,,,grp-a001-02-000000021807554,5742885085.0
빈 그룹,,q,,,,,,,,,,,grp-a001-02-000000021807550,5742885085.0
빈 그룹,,r,,,,,,,,,,,grp-a001-02-000000021807549,5742885085.0
빈 그룹,,s,,,,,,,,,,,grp-a001-02-000000021807551,5742885085.0
빈 그룹,,t,,,,,,,,,,,grp-a001-02-000000021807555,5742885085.0
빈 그룹,,u,,,,,,,,,,,grp-a001-02-000000022036013,5742885085.0
빈 그룹,,v,,,,,,,,,,,grp-a001-02-000000021785283,5742885085.0
빈 그룹,,w,,,,,,,,,,,grp-a001-02-000000021785266,5742885085.0
빈 그룹,,x,,,,,,,,,,,grp-a001-02-000000022036032,5742885085.0
빈 그룹,,y,,,,,,,,,,,grp-a001-02-000000021785285,5742885085.0
빈 그룹,,z,,,,,,,,,,,grp-a001-02-000000021736136,5742885085.0
빈 그룹,,za,,,,,,,,,,,grp-a001-02-000000022036028,5742885085.0
불량 소재,스티커표찰 와이파이 화살표 우측통행 휠체어 손조심 안전,원본,3.4,8.0,0.0,0.0,0.0,0.0,0.0,on,50.0,nad-a001-02-000000144208083,grp-a001-02-000000021786478,5742885084.0
빈 그룹,,a,,,,,,,,,,,grp-a001-02-000000009335164,5742885084.0
빈 그룹,,b,,,,,,,,,,,grp-a001-02-000000021854519,5742885084.0
빈 그룹,,c,,,,,,,,,,,grp-a001-02-000000021807519,5742885084.0
빈 그룹,,d,,,,,,,,,,,grp-a001-02-000000021807501,5742885084.0
빈 그룹,,e,,,,,,,,,,,grp-a001-02-000000021807488,5742885084.0
빈 그룹,,f,,,,,,,,,,,grp-a001-02-000000021807497,5742885084.0
빈 그룹,,g,,,,,,,,,,,grp-a001-02-000000021807496,5742885084.0
빈 그룹,,h,,,,,,,,,,,grp-a001-02-000000021807523,5742885084.0
빈 그룹,,i,,,,,,,,,,,grp-a001-02-000000021807511,5742885084.0
빈 그룹,,j,,,,,,,,,,,grp-a001-02-000000021807484,5742885084.0
빈 그룹,,k,,,,,,,,,,,grp-a001-02-000000021807485,5742885084.0
빈 그룹,,l,,,,,,,,,,,grp-a001-02-000000021807486,5742885084.0
빈 그룹,,m,,,,,,,,,,,grp-a001-02-000000021807481,5742885084.0
빈 그룹,,n,,,,,,,,,,,grp-a001-02-000000021807552,5742885084.0
빈 그룹,,o,,,,,,,,,,,grp-a001-02-000000021807546,5742885084.0
빈 그룹,,p,,,,,,,,,,,grp-a001-02-000000021807554,5742885084.0
빈 그룹,,q,,,,,,,,,,,grp-a001-02-000000021807550,5742885084.0
빈 그룹,,r,,,,,,,,,,,grp-a001-02-000000021807549,5742885084.0
빈 그룹,,s,,,,,,,,,,,grp-a001-02-000000021807551,5742885084.0
빈 그룹,,t,,,,,,,,,,,grp-a001-02-000000021807555,5742885084.0
빈 그룹,,u,,,,,,,,,,,grp-a001-02-000000022036013,5742885084.0
빈 그룹,,v,,,,,,,,,,,grp-a001-02-000000021785283,5742885084.0
빈 그룹,,w,,,,,,,,,,,grp-a001-02-000000021785266,5742885084.0
빈 그룹,,x,,,,,,,,,,,grp-a001-02-000000022036032,5742885084.0
빈 그룹,,y,,,,,,,,,,,grp-a001-02-000000021785285,5742885084.0
빈 그룹,,z,,,,,,,,,,,grp-a001-02-000000021736136,5742885084.0
빈 그룹,,za,,,,,,,,,,,grp-a001-02-000000022036028,5742885084.0
입찰가 변경인상 160>190,스티커표찰 영업중 영업시간 냉난방중 절전,원본,19.0,9.0,1.0,0.0,0.0,176.0,0.0,on,160.0,nad-a001-02-000000144208085,grp-a001-02-000000021786478,5742885083.0
신규 소재,스티커표찰 영업시간스티커 관계자외출입금지 레터링스티커 센서등,a,,,,,,,,on,190.0,,grp-a001-02-000000009335164,5742885083.0
