광고그룹 ID,상품 ID,소재 입찰가,노출상품명
grp-a001-02-000000021807496,5731013038.0,190.0,현대칼라시트지 HL 조명용 1롤
grp-a001-02-000000021807523,5731013038.0,190.0,현대칼라시트지 HL 조명용 1롤
grp-a001-02-000000021807511,5731013038.0,190.0,현대칼라시트지 HL 조명용 1롤
grp-a001-02-000000009335164,5731013034.0,190.0,현대보조시트지 1롤
grp-a001-02-000000021854519,5731013034.0,190.0,현대보조시트지 1롤
grp-a001-02-000000021807519,5731013034.0,190.0,현대보조시트지 1롤
grp-a001-02-000000021807501,5731013034.0,190.0,현대보조시트지 1롤
grp-a001-02-000000021807488,5731013034.0,190.0,현대보조시트지 1롤
grp-a001-02-000000021807497,5731013034.0,190.0,현대보조시트지 1롤
grp-a001-02-000000021807496,5731013034.0,190.0,현대보조시트지 1롤
grp-a001-02-000000021807523,5731013034.0,190.0,현대보조시트지 1롤
grp-a001-02-000000021807511,5731013034.0,190.0,현대보조시트지 1롤
grp-a001-02-000000009335164,5731013024.0,190.0,플라잉배너F 물통형 스파이크형 크로스베이스형 사각베이스 배너 소방자재 배너
grp-a001-02-000000021854519,5731013024.0,190.0,플라잉배너F 물통형 스파이크형 크로스베이스형 사각베이스 블랙보드 모범운전자 자이언트베너
grp-a001-02-000000021807519,5731013024.0,190.0,플라잉배너F 물통형 스파이크형 크로스베이스형 사각베이스 나라별국기 태극기 배너
grp-a001-02-000000021807501,5731013024.0,190.0,플라잉배너F 물통형 스파이크형 크로스베이스형 사각베이스 윈드배너 테이블보 배너
grp-a001-02-000000021807488,5731013024.0,190.0,플라잉배너F 물통형 스파이크형 크로스베이스형 사각베이스 철제이젤 태극기 배너
grp-a001-02-000000021807497,5731013024.0,190.0,플라잉배너F 물통형 스파이크형 크로스베이스형 사각베이스 나라별국기 흡연부스 자이언트베너
grp-a001-02-000000021807496,5731013024.0,190.0,플라잉배너F 물통형 스파이크형 크로스베이스형 사각베이스 물통배너 호주국기 배너
grp-a001-02-000000021807523,5731013024.0,190.0,플라잉배너F 물통형 스파이크형 크로스베이스형 사각베이스 철제이젤 미국국기 배너
grp-a001-02-000000021807511,5731013024.0,190.0,플라잉배너F 물통형 스파이크형 크로스베이스형 사각베이스 자이언트배너 국기 대형현수막
grp-a001-02-000000009335164,5717750730.0,190.0,LED루미사인 제초기 모음 ( 턴버클 )
grp-a001-02-000000021854519,5717750730.0,190.0,LED루미사인 제초기 모음 ( 어댑터 )
grp-a001-02-000000021807519,5717750730.0,190.0,LED루미사인 발전기 모음 ( 누전차단기 )
grp-a001-02-000000021807501,5717750730.0,190.0,LED루미사인 부속 모음 ( 르그랑스위치 )
grp-a001-02-000000021807488,5717750730.0,190.0,LED루미사인 자동차중고부품 모음 ( 파티라이트 )
grp-a001-02-000000021807497,5717750730.0,190.0,LED루미사인 발전기 모음 ( 파티라이트 )
grp-a001-02-000000021807496,5717750730.0,190.0,LED루미사인 부속 모음 ( 테라스꾸미기 )
grp-a001-02-000000021807523,5717750730.0,190.0,LED루미사인 부속 모음 ( 어댑터 )
grp-a001-02-000000021807511,5717750730.0,190.0,LED루미사인 발전기 모음 ( 전기자재 )
grp-a001-02-000000009335164,5691917350.0,190.0,네온사인주문제작 돌출간판 서각 잔넬 캠핑포인트문패 수제쿠키
grp-a001-02-000000021854519,5691917350.0,190.0,LED영업중 철망 부동산간판 아크릴쇼케이스 캠핑포인트문패 크루시아
grp-a001-02-000000021807519,5691917350.0,190.0,LED영업중 주차금지표지판 간판업체 아크릴판 캠핑포인트문패 미니금고
